license_number,provider_name,first_name,last_name,middle_name,suffix,license_type,specialty,secondary_specialty,status,issue_date,expiration_date,renewal_date,address_line1,address_city,address_state,address_zip,county,phone,email,medical_school,medical_school_graduation_year,residency_program,board_certification,languages,public_record,disciplinary_history,malpractice_insurance,hospital_affiliations,last_updated
A27709,"John Williams, MD PhD",John,Williams,,MD PhD,Physician and Surgeon,Otolaryngology,Pediatrics,Expired,2020-05-24,2023-12-29,2023-07-21,5329 Santa Monica Blvd,Santa Ana,CA,94001,Orange,(323) 432-2467,john.williams@email.com,UCLA David Geffen School of Medicine,1997,NewYork-Presbyterian Hospital,,"English, Mandarin",True,None,No,Cedars-Sinai Medical Center,2025-04-10
A52425,"Williams, Mohammed DO PhD",Mohammed,Williams,,DO PhD,Physician and Surgeon,Pulmonology,,Expired,2024-06-11,2025-08-17,2024-10-18,9160 Melrose Ave,Santa Ana,CA,90004,Santa Clara,(323) 575-8439,,Harvard Medical School,2009,UCLA Medical Center,,"English, Spanish, Portuguese",False,None,Unknown,Cedars-Sinai Medical Center,2025-04-26
A29356,"Patricia Yang, DO PhD",Patricia,Yang,,DO PhD,Physician and Surgeon,Family Medicine,,Expired,2021-11-12,2024-08-12,2024-03-15,7217 Main St,San Jose,CA,90004,Riverside,(917) 408-9952,,UCSF School of Medicine,1984,Mayo Clinic,,"English, Spanish, Portuguese",False,None,Unknown,UCLA Medical Center,2025-05-20
A78656,"Sarah Martinez, DO PhD",Sarah,Martinez,C,DO PhD,Physician and Surgeon,Gastroenterology,,Expired,2019-06-04,2023-10-04,2023-03-07,9919 Beverly Dr,Santa Ana,CA,94001,San Diego,929- 349-1483,,Columbia University Vagelos College of Physicians and Surgeons,1990,Mount Sinai Hospital,,"English, Spanish",False,None,No,Kaiser Permanente,2025-08-12
A34884,"Thomas, Mohammed DO PhD",Mohammed,Thomas,,DO PhD,Physician and Surgeon,Pulmonology,Ophthalmology,Expired,2023-06-09,2024-08-19,2023-09-15,644 Ventura Blvd,Oakland,CA,94001,Fresno,(818) 729-3330,mohammed.thomas@email.com,Yale School of Medicine,2014,Johns Hopkins Hospital,,English,False,None,Yes,,2025-06-02
A53150,"Mohammed Harris, MD",Mohammed,Harris,,MD,Physician and Surgeon,Gastroenterology,,Active,2022-01-07,2025-12-15,2025-06-26,9019 Wilshire Blvd,Fresno,CA,93001,Orange,(310) 941-5705,mohammed.harris@email.com,Yale School of Medicine,2004,UCLA Medical Center,,"English, Spanish, Portuguese",False,Yes - See Details,No,Cedars-Sinai Medical Center,2025-05-16
A94626,"Maria Wang, MD",Maria,Wang,,MD,Physician and Surgeon,Nephrology,,Expired,2019-06-20,2023-10-06,2023-05-31,3179 Beverly Dr,Sacramento,CA,93001,San Bernardino,(424) 942-6169,,University of Michigan Medical School,2003,UCLA Medical Center,Nephrology,"English, Spanish",False,Yes - See Details,No,UCLA Medical Center,2025-05-28
A78632,"Elizabeth Kumar, MD",Elizabeth,Kumar,,MD,Physician and Surgeon,Radiology,,Expired,2020-03-16,2024-09-27,2024-07-19,8193 Sunset Blvd,San Jose,CA,91001,Contra Costa,(718) 204-6095,elizabeth.kumar@email.com,UCSF School of Medicine,1997,Massachusetts General Hospital,Radiology,English,False,None,No,,2025-08-21
A16613,"William Jones, MD PhD",William,Jones,,MD PhD,Physician and Surgeon,Oncology,,Expired,2020-01-29,2023-08-05,2023-01-31,5550 Ventura Blvd,Santa Ana,CA,900**,Alameda,(929) 519-6444,william.jones@email.com,University of Michigan Medical School,1987,Mayo Clinic,Oncology,"English, Spanish",True,None,Unknown,UCSF Medical Center,2025-06-11
A26718,"ANA MARTIN, DO PHD",Ana,Martin,,DO PhD,Physician and Surgeon,Internal Medicine,,Expired,2020-02-15,2024-08-25,2023-09-19,5641 Wilshire Blvd,Los Angeles,CA,95001,Fresno,(917) 642-7459,ana.martin@email.com,UCLA David Geffen School of Medicine,1995,UCSF Medical Center,,English,True,Yes - See Details,No,Kaiser Permanente,2025-05-26
A85230,"Jones, Rajesh MD PhD",Rajesh,Jones,,MD PhD,Physician and Surgeon,Gastroenterology,,Expired,2023-01-23,2024-11-09,2024-03-27,5629 Ventura Blvd,Los Angeles,CA,93001,Alameda,2128448752,rajesh.jones@email.com,Harvard Medical School,1983,NewYork-Presbyterian Hospital,Gastroenterology,"English, Spanish",True,None,Unknown,UCSF Medical Center,2025-07-05
A25203,"Carlos Harris, DO",Carlos,Harris,,DO,Physician and Surgeon,Orthopedic Surgery,Orthopedic Surgery,Expired,2020-10-17,2023-04-18,2023-04-18,2741 Hollywood Blvd,Sacramento,CA,90001,San Diego,(310) 468-3378,,Columbia University Vagelos College of Physicians and Surgeons,2019,Mount Sinai Hospital,,"English, Spanish, Portuguese",False,None,Unknown,UCSF Medical Center,2025-08-18
A67747,"CARLOS JONES, MD PHD",Carlos,Jones,,MD PhD,Physician and Surgeon,Nephrology,Cardiology,Expired,2018-06-21,2023-05-23,2022-12-02,6272 Rodeo Dr,Sacramento,CA,90001,Riverside,(917) 828-2740,,Harvard Medical School,2013,Johns Hopkins Hospital,,"English, Mandarin",False,None,Unknown,UCSF Medical Center,2025-08-25
A48005,"Charles Sanchez, MD",Charles,Sanchez,,MD,Physician and Surgeon,Orthopedic Surgery,,Expired,2022-11-23,2024-02-20,2023-07-09,1486 Beverly Dr,Sacramento,CA,90002,Riverside,(718) 847-8175,,Harvard Medical School,2009,Cleveland Clinic,Orthopedic Surgery,English,False,None,Unknown,,2025-06-01
A59221,"Maria Lee, DO",Maria,Lee,,DO,Physician and Surgeon,Pediatrics,,Expired,2021-12-11,2024-03-27,2024-03-03,5344 Hollywood Blvd,San Diego,CA,90004,Los Angeles,(646) 596-7119,,NYU Grossman School of Medicine,2006,NewYork-Presbyterian Hospital,,"English, Spanish",False,None,Yes,UCLA Medical Center,2025-03-10
A76088,"Sarah Anderson, DO",Sarah,Anderson,B,DO,Physician and Surgeon,Gastroenterology,Internal Medicine,Expired,2021-07-11,2023-03-10,2022-11-21,84 Rodeo Dr,Los Angeles,CA,90001,Alameda,(212) 909-7662,sarah.anderson@email.com,Columbia University Vagelos College of Physicians and Surgeons,1994,Cleveland Clinic,Gastroenterology,"English, Mandarin",True,None,No,,2025-03-29
A36832,"Jennifer White, DO PhD",Jennifer,White,,DO PhD,Physician and Surgeon,Radiology,,Expired,2021-07-15,2023-10-11,2022-11-30,5990 Beverly Dr,San Francisco,CA,94001,Fresno,(347) 715-7929,,NYU Grossman School of Medicine,2012,UCLA Medical Center,Radiology,"English, Mandarin",False,None,Yes,UCSF Medical Center,2025-03-11
A43804,"Joseph Johnson, MD",Joseph,Johnson,C,MD,Physician and Surgeon,Cardiology,Internal Medicine,Expired,2023-11-06,2025-09-01,2025-02-05,8079 Wilshire Blvd,Sacramento,CA,95001,Sacramento,(929) 672-3219,joseph.johnson@email.com,Columbia University Vagelos College of Physicians and Surgeons,2013,UCLA Medical Center,Cardiology,English,True,None,No,Kaiser Permanente,2025-08-18
A79315,"PATRICIA THOMPSON, DO",Patricia,Thompson,,DO,Physician and Surgeon,Pulmonology,Psychiatry,Expired,2020-10-03,2024-03-20,2023-07-19,3963 Ventura Blvd,San Diego,CA,90002,Contra Costa,(818) 803-4033,patricia.thompson@email.com,NYU Grossman School of Medicine,2008,UCSF Medical Center,Pulmonology,"English, Spanish",True,None,No,UCSF Medical Center,2025-04-07
A80848,"Carlos Singh, DO PhD",Carlos,Singh,,DO PhD,Physician and Surgeon,Internal Medicine,Oncology,Expired,2020-01-01,2023-02-06,2022-05-31,3309 Melrose Ave,Santa Ana,CA,93001,Sacramento,(212) 381-5965,carlos.singh@email.com,UCLA David Geffen School of Medicine,1988,Mayo Clinic,Internal Medicine,"English, Mandarin",False,None,Yes,,2025-06-05
A67602,"Wei Zhang, DO PhD",Wei,Zhang,,DO PhD,Physician and Surgeon,Emergency Medicine,,Expired,2023-11-19,2025-04-16,2024-11-07,3866 Rodeo Dr,San Jose,CA,90003,San Bernardino,310- 899-5036,wei.zhang@email.com,UCSF School of Medicine,1994,UCLA Medical Center,Emergency Medicine,"English, Spanish",False,None,Unknown,UCSF Medical Center,2025-07-17
A57560,"Rajesh Liu, MD",Rajesh,Liu,D,MD,Physician and Surgeon,Ophthalmology,,Expired,2019-03-02,2023-09-07,2023-06-23,896 Hollywood Blvd,Fresno,CA,94001,Riverside,(347) 415-3625,,Harvard Medical School,1992,NewYork-Presbyterian Hospital,,"English, Mandarin",True,None,Unknown,Cedars-Sinai Medical Center,2025-04-09
A81791,"BARBARA CLARK, MD PHD",Barbara,Clark,A,MD PhD,Physician and Surgeon,Pulmonology,Ophthalmology,Expired,2020-01-15,2024-10-31,2024-01-21,1645 Sunset Blvd,FRESNO,CA,94001,Alameda,(929) 789-2347,barbara.clark@email.com,Yale School of Medicine,2004,Mayo Clinic,Pulmonology,English,True,None,Yes,Cedars-Sinai Medical Center,2025-05-27
A62108,"Charles Taylor, DO",Charles,Taylor,,DO,Physician and Surgeon,Oncology,,Expired,2021-12-16,2024-03-10,2024-03-07,4069 Beverly Dr,Santa Ana,CA,90002,San Bernardino,(917) 682-6804,,Columbia University Vagelos College of Physicians and Surgeons,2018,UCSF Medical Center,Oncology,"English, Spanish, Portuguese",False,None,Unknown,Kaiser Permanente,2025-04-16
A71352,"Priya White, DO",Priya,White,,DO,Physician and Surgeon,Pediatrics,Otolaryngology,Expired,2019-07-28,2023-09-28,2022-11-29,9168 Main St,San Francisco,CA,90005,Alameda,(310) 487-6907,priya.white@email.com,University of Michigan Medical School,2001,NewYork-Presbyterian Hospital,,English,True,Yes - See Details,Yes,Stanford Hospital,2025-03-15
A14700,"Linda Hernandez, MD PhD",Linda,Hernandez,,MD PhD,Physician and Surgeon,Emergency Medicine,,Expired,2023-08-21,2025-08-21,2025-06-10,8050 Sunset Blvd,Santa Ana,CA,90001,Sacramento,(310) 668-9077,linda.hernandez@email.com,NYU Grossman School of Medicine,2009,Johns Hopkins Hospital,Emergency Medicine,"English, Spanish",True,None,No,Cedars-Sinai Medical Center,2025-03-09
A17279,"Karen Lewis, MD PhD",Karen,Lewis,,MD PhD,Physician and Surgeon,Ophthalmology,Pathology,Expired,2022-05-23,2023-05-25,2023-03-04,9326 Sunset Blvd,San Jose,CA,90001,Riverside,(212) 413-3669,,Johns Hopkins School of Medicine,1998,Johns Hopkins Hospital,,English,True,None,Unknown,UCLA Medical Center,2025-08-08
A74175,"Ana Ramirez, MD PhD",Ana,Ramirez,,MD PhD,Physician and Surgeon,Oncology,Pathology,Expired,2021-02-02,2025-07-01,2024-10-06,9888 Sunset Blvd,Sacramento,CA,90002,San Diego,(646) 644-7979,ana.ramirez@email.com,NYU Grossman School of Medicine,1985,Mount Sinai Hospital,Oncology,English,False,None,No,Cedars-Sinai Medical Center,2025-08-05
A68361,"Rajesh Thomas, DO PhD",Rajesh,Thomas,,DO PhD,Physician and Surgeon,Nephrology,,Inactive,2023-07-15,2025-09-20,2024-12-13,8825 Hollywood Blvd,San Diego,CA,90005,San Diego,(929) 208-2682,,UCSF School of Medicine,1992,NewYork-Presbyterian Hospital,,"English, Spanish, Portuguese",False,None,Unknown,Cedars-Sinai Medical Center,2025-05-28
A24938,"Michael Johnson, MD PhD",Michael,Johnson,,MD PhD,Physician and Surgeon,Cardiology,,Expired,2023-01-09,2024-04-09,2023-10-19,5850 Sunset Blvd,San Francisco,CA,94001,Riverside,(646) 906-9444,michael.johnson@email.com,UCSF School of Medicine,2013,Mount Sinai Hospital,Cardiology,"English, Spanish",True,None,No,Kaiser Permanente,2025-07-25
A57400,"Ana Yang, MD",Ana,Yang,,MD,Physician and Surgeon,Anesthesiology,Endocrinology,Expired,2019-08-15,2023-11-18,2023-06-30,688 Ventura Blvd,San Diego,CA,90003,Santa Clara,(917) 649-7811,,NYU Grossman School of Medicine,1988,NewYork-Presbyterian Hospital,Anesthesiology,English,True,Yes - See Details,Yes,UCLA Medical Center,2025-05-03
A39908,"Moore, David MD PhD",David,Moore,,MD PhD,Physician and Surgeon,Family Medicine,,Expired,2021-10-12,2023-10-10,2023-01-09,6800 Beverly Dr,San Jose,CA,90003,Orange,(818) 729-2140,,UCLA David Geffen School of Medicine,1999,Mayo Clinic,,"English, Spanish",True,None,Yes,UCSF Medical Center,2025-06-23
A82562,"Jennifer Williams, DO",Jennifer,Williams,,DO,Physician and Surgeon,Radiology,,Expired,2022-02-23,2024-09-15,2023-12-22,948 Ventura Blvd,Fresno,CA,92001,San Diego,3238398244,jennifer.williams@email.com,University of Pennsylvania Perelman School of Medicine,1993,NewYork-Presbyterian Hospital,,"English, Spanish",True,None,Unknown,,2025-08-30
A54657,"Jessica Perez, DO PhD",Jessica,Perez,A,DO PhD,Physician and Surgeon,Family Medicine,,Expired,2022-08-13,2023-11-24,2023-09-18,2065 Ventura Blvd,Fresno,CA,90004,Orange,(818) 261-7110,,Harvard Medical School,2010,Johns Hopkins Hospital,,"English, Mandarin",True,None,Yes,UCLA Medical Center,2025-05-30
A49748,"Jessica White, MD",Jessica,White,,MD,Physician and Surgeon,Nephrology,,Expired,2023-06-03,2024-08-25,2023-12-12,6695 Wilshire Blvd,San Diego,CA,91001,San Diego,646  957.9008,jessica.white@email.com,NYU Grossman School of Medicine,1985,Johns Hopkins Hospital,Nephrology,"English, Spanish, Portuguese",False,None,Yes,,2025-08-19
A75881,"Sarah Martin, MD",Sarah,Martin,C,MD,Physician and Surgeon,Cardiology,,Expired,2018-10-09,2023-02-08,2022-08-10,1396 Hollywood Blvd,Los Angeles,CA,95001,Alameda,(323) 821-6249,,Harvard Medical School,1989,UCLA Medical Center,Cardiology,"English, Spanish",True,None,Unknown,Cedars-Sinai Medical Center,2025-03-20
A98486,"Kumar, Carlos DO PhD",Carlos,Kumar,,DO PhD,Physician and Surgeon,Psychiatry,,Expired,2020-03-28,2023-07-27,2023-06-20,4413 Main St,Sacramento,CA,93001,Sacramento,(646) 582-9854,carlos.kumar@email.com,UCLA David Geffen School of Medicine,1982,Mount Sinai Hospital,Psychiatry,English,True,None,Unknown,UCLA Medical Center,2025-08-03
A59827,"Wei Robinson, MD PhD",Wei,Robinson,D,MD PhD,Physician and Surgeon,Neurology,,Expired,2023-10-23,2024-12-20,2024-11-16,2743 Main St,Los Angeles,CA,93001,Fresno,(718) 604-3014,wei.robinson@email.com,University of Pennsylvania Perelman School of Medicine,1992,UCLA Medical Center,,"English, Spanish",True,None,Yes,Cedars-Sinai Medical Center,2025-05-18
A39035,"Patricia Harris, DO",Patricia,Harris,C,DO,Physician and Surgeon,Emergency Medicine,,Expired,2019-04-21,2023-02-10,2022-08-06,139 Wilshire Blvd,Santa Ana,CA,91001,Alameda,(212) 487-9074,,University of Pennsylvania Perelman School of Medicine,2017,UCSF Medical Center,Emergency Medicine,"English, Spanish, Portuguese",True,None,Unknown,Stanford Hospital,2025-07-25
A63884,"LINDA JONES, MD",Linda,Jones,,MD,Physician and Surgeon,Urology,,Expired,2021-04-12,2024-04-22,2023-11-28,9163 Main St,Fresno,CA,92001,San Bernardino,(929) 866-1425,linda.jones@email.com,University of Pennsylvania Perelman School of Medicine,1983,Johns Hopkins Hospital,,"English, Spanish, Portuguese",False,None,Yes,,2025-06-16
A68277,"Karen Jones, DO",Karen,Jones,,DO,Physician and Surgeon,Psychiatry,,Expired,2021-12-26,2024-01-16,2023-07-24,2065 Ventura Blvd,Fresno,CA,91001,Los Angeles,(347) 797-9866,karen.jones@email.com,Columbia University Vagelos College of Physicians and Surgeons,1986,UCLA Medical Center,Psychiatry,"English, Spanish, Portuguese",True,None,Yes,UCLA Medical Center,2025-05-27
A53452,"Smith, Fatima DO",Fatima,Smith,A,DO,Physician and Surgeon,Neurology,,Expired,2023-08-12,2025-02-08,2024-07-13,7644 Pico Blvd,San Jose,CA,90004,Orange,(718) 345-5760,,NYU Grossman School of Medicine,1981,Massachusetts General Hospital,Neurology,"English, Mandarin",False,None,Yes,,2025-04-24
A93380,"James Martinez, DO",James,Martinez,,DO,Physician and Surgeon,Internal Medicine,Nephrology,Expired,2019-10-21,2024-05-15,2023-07-16,3141 Ventura Blvd,Oakland,CA,91001,Fresno,626  486.3071,james.martinez@email.com,Stanford University School of Medicine,2003,Mount Sinai Hospital,,"English, Spanish, Portuguese",True,None,Unknown,UCSF Medical Center,2025-08-12
A59005,"David Hernandez, DO PhD",David,Hernandez,,DO PhD,Physician and Surgeon,Nephrology,,Active,2021-09-30,2025-12-12,2025-09-01,8343 Beverly Dr,Santa Ana,CA,94001,Contra Costa,(917) 662-4840,david.hernandez@email.com,UCLA David Geffen School of Medicine,2000,UCSF Medical Center,Nephrology,"English, Spanish",False,None,Yes,UCSF Medical Center,2025-03-16
A98487,"Patricia Garcia, MD PhD",Patricia,Garcia,A,MD PhD,Physician and Surgeon,Emergency Medicine,,Expired,2022-08-03,2024-11-05,2024-10-19,8402 Ventura Blvd,San Diego,CA,90005,Riverside,(347) 554-7616,patricia.garcia@email.com,Yale School of Medicine,1988,Mayo Clinic,Emergency Medicine,"English, Spanish, Portuguese",False,None,Unknown,UCSF Medical Center,2025-05-31
A69183,"Fatima Rodriguez, DO",Fatima,Rodriguez,,DO,Physician and Surgeon,Pediatrics,,Expired,2021-07-09,2024-09-15,2024-05-01,5411 Pico Blvd,Oakland,CA,92001,Sacramento,(917) 271-7322,fatima.rodriguez@email.com,Columbia University Vagelos College of Physicians and Surgeons,2003,Johns Hopkins Hospital,Pediatrics,"English, Spanish, Portuguese",False,None,Unknown,UCSF Medical Center,2025-07-13
A58330,"Mohammed Sharma, MD PhD",Mohammed,Sharma,,MD PhD,Physician and Surgeon,Cardiology,,Expired,2021-01-31,2023-06-06,2023-01-19,1094 Hollywood Blvd,Santa Ana,CA,92001,Alameda,(310) 227-2199,mohammed.sharma@email.com,NYU Grossman School of Medicine,1992,UCSF Medical Center,,"English, Spanish, Portuguese",True,None,No,UCLA Medical Center,2025-08-13
A66083,Dr. Linda Kumar,Linda,Kumar,,MD,Physician and Surgeon,Psychiatry,,Expired,2020-08-09,2023-09-05,2022-10-24,5287 Ventura Blvd,San Jose,CA,95001,San Bernardino,(213) 417-8516,linda.kumar@email.com,University of Michigan Medical School,2001,UCLA Medical Center,Psychiatry,"English, Spanish",False,None,No,UCSF Medical Center,2025-04-08
A97163,"Carlos Johnson, DO",Carlos,Johnson,,DO,Physician and Surgeon,Psychiatry,Psychiatry,Expired,2021-09-13,2024-05-23,2024-05-17,5428 Beverly Dr,San Jose,CA,90004,Sacramento,(718) 397-1853,,Johns Hopkins School of Medicine,2005,Johns Hopkins Hospital,Psychiatry,"English, Spanish",True,None,Unknown,Kaiser Permanente,2025-08-03
A70771,"John Harris, DO PhD",John,Harris,B,DO PhD,Physician and Surgeon,Pulmonology,Emergency Medicine,Expired,2021-07-23,2024-09-18,2023-10-21,4919 Pico Blvd,San Francisco,CA,94001,Contra Costa,917  358.4106,john.harris@email.com,NYU Grossman School of Medicine,1987,Mount Sinai Hospital,Pulmonology,"English, Spanish",False,None,No,UCSF Medical Center,2025-06-15
A78807,"Wilson, Maria DO PhD",Maria,Wilson,,DO PhD,Physician and Surgeon,Anesthesiology,,Expired,2021-10-19,2025-05-03,2024-09-11,106 Sunset Blvd,Santa Ana,CA,90001,Riverside,(323) 312-8383,maria.wilson@email.com,University of Pennsylvania Perelman School of Medicine,2009,Massachusetts General Hospital,Anesthesiology,English,True,None,Unknown,UCSF Medical Center,2025-07-22
A54846,"Clark, Thomas DO PhD",Thomas,Clark,,DO PhD,Physician and Surgeon,Otolaryngology,,Expired,2021-09-21,2023-03-02,2023-01-14,1790 Sunset Blvd,San Diego,CA,90005,Contra Costa,2122994458,thomas.clark@email.com,University of Michigan Medical School,1995,NewYork-Presbyterian Hospital,Otolaryngology,"English, Spanish",False,None,Unknown,UCSF Medical Center,2025-07-19
A90293,"John Lee, MD",John,Lee,,MD,Physician and Surgeon,Pathology,,Expired,2019-08-16,2023-06-16,2022-07-03,750 Beverly Dr,Santa Ana,CA,90004,Sacramento,(424) 933-9267,john.lee@email.com,Stanford University School of Medicine,1986,NewYork-Presbyterian Hospital,Pathology,"English, Spanish",True,None,Unknown,Cedars-Sinai Medical Center,2025-03-09
A21722,"Li Robinson, DO",Li,Robinson,,DO,Physician and Surgeon,Gastroenterology,,Expired,2020-09-05,2023-08-05,2023-04-14,1896 Santa Monica Blvd,San Jose,CA,90004,Sacramento,(626) 339-9757,li.robinson@email.com,NYU Grossman School of Medicine,2014,Cleveland Clinic,,"English, Spanish, Portuguese",False,None,No,UCLA Medical Center,2025-07-15
A24599,"David Perez, DO PhD",David,Perez,,DO PhD,Physician and Surgeon,Cardiology,,Expired,2021-11-16,2023-07-02,2023-06-09,6253 Ventura Blvd,Oakland,CA,90004,Santa Clara,818  201.6092,,UCLA David Geffen School of Medicine,1993,UCLA Medical Center,Cardiology,English,True,None,No,UCSF Medical Center,2025-03-20
A30865,"Robert Wilson, DO",Robert,Wilson,A,DO,Physician and Surgeon,Ophthalmology,,Expired,2021-11-13,2023-02-14,2022-03-02,862 Sunset Blvd,Santa Ana,CA,92001,Orange,(818) 489-5626,,UCLA David Geffen School of Medicine,1985,Johns Hopkins Hospital,Ophthalmology,"English, Mandarin",True,None,Unknown,UCLA Medical Center,2025-08-03
A28982,"Carlos Zhang, MD",Carlos,Zhang,,MD,Physician and Surgeon,Neurology,,Expired,2019-10-16,2024-03-05,2023-03-17,4982 Santa Monica Blvd,San Francisco,CA,95001,San Diego,(212) 298-6825,,Stanford University School of Medicine,2016,UCLA Medical Center,Neurology,"English, Spanish, Portuguese",True,None,Yes,Cedars-Sinai Medical Center,2025-07-14
A27590,"SUSAN THOMPSON, DO",Susan,Thompson,,DO,Physician and Surgeon,Otolaryngology,,Expired,2019-09-22,2024-03-18,2023-06-27,733 Hollywood Blvd,Los Angeles,CA,90004,Alameda,(213) 865-3675,susan.thompson@email.com,Columbia University Vagelos College of Physicians and Surgeons,2015,UCSF Medical Center,,"English, Spanish",False,None,No,UCLA Medical Center,2025-05-30
A89291,"Jessica Wilson, MD",Jessica,Wilson,,MD,Physician and Surgeon,Gastroenterology,,Expired,2020-12-11,2023-12-02,2022-12-18,4414 Hollywood Blvd,Sacramento,CA,950**,Riverside,718- 744-2802,,NYU Grossman School of Medicine,2015,Johns Hopkins Hospital,,"English, Spanish",True,None,No,UCLA Medical Center,2025-03-07
A59628,"Carlos Moore, DO",Carlos,Moore,,DO,Physician and Surgeon,Cardiology,Anesthesiology,Expired,2019-08-31,2023-08-04,2023-01-30,3699 Melrose Ave,Los Angeles,CA,90002,Sacramento,(347) 764-5440,,Johns Hopkins School of Medicine,2016,UCLA Medical Center,Cardiology,"English, Mandarin",True,None,No,Stanford Hospital,2025-08-11
A68238,"Rajesh Liu, MD",Rajesh,Liu,,MD,Physician and Surgeon,Anesthesiology,Internal Medicine,Expired,2022-09-21,2023-12-01,2023-02-22,154 Wilshire Blvd,Sacramento,CA,90002,Sacramento,(212) 245-2684,rajesh.liu@email.com,Yale School of Medicine,2013,UCSF Medical Center,,"English, Spanish, Portuguese",False,None,Yes,Kaiser Permanente,2025-07-24
A75437,"Priya Ramirez, DO",Priya,Ramirez,,DO,Physician and Surgeon,Emergency Medicine,Nephrology,Expired,2022-12-13,2025-01-25,2024-11-23,4941 Pico Blvd,Fresno,CA,91001,Orange,(718) 315-8003,priya.ramirez@email.com,Stanford University School of Medicine,2009,UCLA Medical Center,,"English, Spanish",True,None,No,,2025-03-25
A22050,"Priya Robinson, MD PhD",Priya,Robinson,,MD PhD,Physician and Surgeon,Psychiatry,,Active,2020-12-17,2025-12-04,2025-07-25,8223 Melrose Ave,San Jose,CA,92001,Alameda,(424) 279-8674,priya.robinson@email.com,UCLA David Geffen School of Medicine,1993,Mayo Clinic,,"English, Spanish, Portuguese",False,None,Yes,UCLA Medical Center,2025-03-10
A57227,"David Garcia, DO",David,Garcia,,DO,Physician and Surgeon,Internal Medicine,,Expired,2023-08-16,2025-06-01,2024-09-14,2308 Sunset Blvd,Sacramento,CA,93001,Los Angeles,(718) 215-3336,,Stanford University School of Medicine,1985,Mount Sinai Hospital,Internal Medicine,"English, Mandarin",False,Yes - See Details,No,Kaiser Permanente,2025-03-15
A28955,"Patricia Wang, DO PhD",Patricia,Wang,A,DO PhD,Physician and Surgeon,Radiology,Pathology,Expired,2020-08-23,2024-10-25,2024-04-01,9190 Pico Blvd,San Jose,CA,90002,Los Angeles,(323) 939-1060,patricia.wang@email.com,University of Michigan Medical School,1988,Johns Hopkins Hospital,Radiology,"English, Mandarin",True,None,Yes,Stanford Hospital,2025-07-02
A99080,"Maria Gonzalez, DO PhD",Maria,Gonzalez,,DO PhD,Physician and Surgeon,Pathology,,Expired,2018-07-09,2023-01-30,2022-09-27,2722 Pico Blvd,Oakland,CA,90004,San Diego,(213) 560-6770,,NYU Grossman School of Medicine,1987,Johns Hopkins Hospital,,English,False,None,No,UCSF Medical Center,2025-08-07
A73941,"Linda Kumar, DO PhD",Linda,Kumar,,DO PhD,Physician and Surgeon,Pulmonology,,Expired,2024-05-25,2025-06-06,2024-08-24,4098 Sunset Blvd,San Jose,CA,90005,San Bernardino,(917) 780-6782,,Johns Hopkins School of Medicine,1988,Massachusetts General Hospital,Pulmonology,"English, Mandarin",True,None,Unknown,Cedars-Sinai Medical Center,2025-07-08
A34368,"Sarah Clark, MD PhD",Sarah,Clark,,MD PhD,Physician and Surgeon,Psychiatry,Anesthesiology,Expired,2023-01-11,2025-01-02,2024-01-29,8692 Beverly Dr,Oakland,CA,90001,Alameda,(818) 211-6388,sarah.clark@email.com,NYU Grossman School of Medicine,1981,Cleveland Clinic,,"English, Mandarin",False,None,Unknown,UCSF Medical Center,2025-05-04
A72642,Dr. James Rodriguez,James,Rodriguez,,MD PhD,Physician and Surgeon,Emergency Medicine,,Active,2023-05-05,2025-09-30,2024-11-14,9571 Rodeo Dr,Santa Ana,CA,90002,San Diego,(917) 875-4373,james.rodriguez@email.com,UCSF School of Medicine,2013,Massachusetts General Hospital,Emergency Medicine,"English, Mandarin",True,None,Unknown,UCSF Medical Center,2025-06-10
A77361,"Priya Wilson, DO PhD",Priya,Wilson,,DO PhD,Physician and Surgeon,Anesthesiology,,Expired,2023-08-31,2024-10-03,2023-12-13,3079 Santa Monica Blvd,San Diego,CA,91001,Alameda,424  725.4326,priya.wilson@email.com,Columbia University Vagelos College of Physicians and Surgeons,2015,UCSF Medical Center,Anesthesiology,"English, Mandarin",False,None,No,UCLA Medical Center,2025-08-18
A50019,"William Wilson, MD PhD",William,Wilson,,MD PhD,Physician and Surgeon,Orthopedic Surgery,Orthopedic Surgery,Expired,2023-05-03,2024-05-03,2023-09-24,9770 Melrose Ave,Los Angeles,CA,90002,Orange,(213) 542-1341,,Johns Hopkins School of Medicine,2016,Massachusetts General Hospital,,"English, Spanish, Portuguese",True,None,Unknown,Cedars-Sinai Medical Center,2025-07-26
A77245,"Elizabeth Moore, MD",Elizabeth,Moore,,MD,Physician and Surgeon,Orthopedic Surgery,,Expired,2021-03-22,2023-05-09,2022-10-01,5862 Ventura Blvd,San Jose,CA,91001,Fresno,(718) 860-8925,elizabeth.moore@email.com,Johns Hopkins School of Medicine,1978,NewYork-Presbyterian Hospital,,"English, Spanish, Portuguese",False,None,Unknown,Stanford Hospital,2025-07-09
A86385,"DAVID SHARMA, DO",David,Sharma,,DO,Physician and Surgeon,Emergency Medicine,,Expired,2021-11-22,2025-08-22,2024-10-18,8193 Melrose Ave,Oakland,CA,95001,Orange,(917) 760-6400,david.sharma@email.com,UCSF School of Medicine,2002,Johns Hopkins Hospital,Emergency Medicine,English,False,Yes - See Details,Unknown,Kaiser Permanente,2025-04-20
